epoch,step,train_loss,test_loss
1,250,0.9759,
1,500,1.0014,
1,750,0.9916,
1,1000,1.2858,
1,1250,0.8464,
1,1500,1.1854,
1,1750,0.8779,
1,2000,1.2153,
1,2250,0.8673,
1,2500,0.8186,
1,2750,1.0532,
1,3000,0.7725,
1,3250,0.7978,
1,3500,0.9893,
1,3750,0.9709,
1,4000,0.6322,
1,4250,0.7861,
1,4500,0.5926,
1,4750,0.4812,
1,5000,0.6904,
1,5250,0.7574,
1,5500,0.6738,
1,5750,0.6282,
1,6000,0.6164,
1,6250,0.5733,
1,6500,0.6753,
1,6750,0.5531,
1,7000,0.4882,
1,7250,0.5689,
1,7500,0.5871,
1,7750,0.7107,
1,8000,0.7419,
1,8250,0.53,
1,8500,0.6859,
1,8750,0.5572,
1,9000,0.5496,
1,9250,0.5127,
1,9500,0.5534,
1,9750,0.5875,
1,10000,0.6139,
1,10250,0.5549,
1,10500,0.4955,
1,10750,0.594,
1,11000,0.5332,
1,11250,0.5911,
1,11500,0.524,
1,11750,0.4637,
1,12000,0.5168,
1,12250,0.5099,
1,12500,0.7425,
1,12750,0.5967,
1,13000,0.5198,
1,13250,0.6075,
1,13500,0.3674,
1,13750,0.383,
1,14000,0.4853,
1,14250,0.5654,
1,14500,0.5308,
1,14750,0.2957,
1,15000,0.4829,
1,15250,0.398,
1,15500,0.4809,
1,15750,0.4679,
1,16000,0.4792,
1,16250,0.5073,
1,16500,0.435,
1,16750,0.5719,
1,17000,0.3562,
1,17250,0.5585,
1,17500,0.4006,
1,17750,0.4345,
1,18000,0.4668,
1,18250,0.5272,
1,18500,0.4401,
1,18750,0.5682,
1,19000,0.6293,
1,19250,0.3776,
1,19500,0.3465,
1,19750,0.4337,
1,20000,0.4498,
1,20250,0.4253,
1,20500,0.4731,
1,20750,0.3971,
1,21000,0.5886,
1,21250,0.4401,
1,21500,0.3617,
1,21750,0.4185,
1,22000,0.4376,
1,22250,0.397,
1,22500,0.4547,
1,22750,0.4011,
1,23000,0.3557,
1,23250,0.4278,
1,23500,0.3649,
1,23750,0.4141,
1,24000,0.3924,
1,24250,0.3403,
1,24500,0.4655,
1,24750,0.4472,
1,25000,0.4012,
2,250,0.3099,
2,500,0.3168,
2,750,0.3259,
2,1000,0.3194,
2,1250,0.4943,
2,1500,0.2925,
2,1750,0.3653,
2,2000,0.4323,
2,2250,0.3918,
2,2500,0.3876,
2,2750,0.4279,
2,3000,0.418,
2,3250,0.425,
2,3500,0.3099,
2,3750,0.3566,
2,4000,0.2966,
2,4250,0.2572,
2,4500,0.3284,
2,4750,0.3253,
2,5000,0.4949,
2,5250,0.4134,
2,5500,0.3688,
2,5750,0.3718,
2,6000,0.4241,
2,6250,0.2856,
2,6500,0.4914,
2,6750,0.3113,
2,7000,0.4215,
2,7250,0.2134,
2,7500,0.3616,
2,7750,0.4296,
2,8000,0.3716,
2,8250,0.4054,
2,8500,0.3261,
2,8750,0.3881,
2,9000,0.3992,
2,9250,0.3026,
2,9500,0.2585,
2,9750,0.3842,
2,10000,0.5535,
2,10250,0.2766,
2,10500,0.2621,
2,10750,0.3506,
2,11000,0.2575,
2,11250,0.2518,
2,11500,0.236,
2,11750,0.2757,
2,12000,0.5639,
2,12250,0.2498,
2,12500,0.2864,
2,12750,0.5206,
2,13000,0.3349,
2,13250,0.382,
2,13500,0.3444,
2,13750,0.3019,
2,14000,0.2011,
2,14250,0.1885,
2,14500,0.3043,
2,14750,0.2956,
2,15000,0.2312,
2,15250,0.3452,
2,15500,0.4268,
2,15750,0.4391,
2,16000,0.367,
2,16250,0.35,
2,16500,0.4939,
2,16750,0.4416,
2,17000,0.4178,
2,17250,0.3568,
2,17500,0.3052,
2,17750,0.3221,
2,18000,0.6063,
2,18250,0.3729,
2,18500,0.3009,
2,18750,0.3242,
2,19000,0.2935,
2,19250,0.385,
2,19500,0.3135,
2,19750,0.2316,
2,20000,0.3375,
2,20250,0.3489,
2,20500,0.3234,
2,20750,0.3493,
2,21000,0.3468,
2,21250,0.3289,
2,21500,0.6206,
2,21750,0.3787,
2,22000,0.3866,
2,22250,0.2569,
2,22500,0.4144,
2,22750,0.3792,
2,23000,0.3427,
2,23250,0.3061,
2,23500,0.4509,
2,23750,0.308,
2,24000,0.3232,
2,24250,0.2859,
2,24500,0.3503,
2,24750,0.5157,
2,25000,0.3505,
3,250,0.4973,
3,500,0.2893,
3,750,0.3252,
3,1000,0.3075,
3,1250,0.3756,
3,1500,0.2107,
3,1750,0.2409,
3,2000,0.2933,
3,2250,0.2555,
3,2500,0.2907,
3,2750,0.2449,
3,3000,0.2021,
3,3250,0.3771,
3,3500,0.2751,
3,3750,0.2578,
3,4000,0.2146,
3,4250,0.2798,
3,4500,0.3336,
3,4750,0.307,
3,5000,0.3266,
3,5250,0.3511,
3,5500,0.2168,
3,5750,0.2979,
3,6000,0.205,
3,6250,0.4215,
3,6500,0.3688,
3,6750,0.2919,
3,7000,0.3406,
3,7250,0.3765,
3,7500,0.1691,
3,7750,0.2618,
3,8000,0.3324,
3,8250,0.249,
3,8500,0.2314,
3,8750,0.4815,
3,9000,0.4268,
3,9250,0.3075,
3,9500,0.2322,
3,9750,0.146,
3,10000,0.5666,
3,10250,0.3598,
3,10500,0.2921,
3,10750,0.3993,
3,11000,0.4046,
3,11250,0.3362,
3,11500,0.272,
3,11750,0.263,
3,12000,0.3281,
3,12250,0.2941,
3,12500,0.2536,
3,12750,0.2697,
3,13000,0.3363,
3,13250,0.2637,
3,13500,0.3382,
3,13750,0.3018,
3,14000,0.3378,
3,14250,0.2965,
3,14500,0.3434,
3,14750,0.3195,
3,15000,0.255,
3,15250,0.3477,
3,15500,0.3621,
3,15750,0.3277,
3,16000,0.2874,
3,16250,0.2852,
3,16500,0.3204,
3,16750,0.4345,
3,17000,0.225,
3,17250,0.3252,
3,17500,0.2653,
3,17750,0.2287,
3,18000,0.2637,
3,18250,0.2828,
3,18500,0.3073,
3,18750,0.3887,
3,19000,0.2788,
3,19250,0.3416,
3,19500,0.2903,
3,19750,0.367,
3,20000,0.3127,
3,20250,0.2203,
3,20500,0.3454,
3,20750,0.1651,
3,21000,0.2767,
3,21250,0.2908,
3,21500,0.4175,
3,21750,0.2597,
3,22000,0.4145,
3,22250,0.192,
3,22500,0.3208,
3,22750,0.2238,
3,23000,0.3703,
3,23250,0.2441,
3,23500,0.3933,
3,23750,0.5305,
3,24000,0.4434,
3,24250,0.1882,
